dt,AverageTemperature,AverageTemperatureUncertainty,Country
1858-12-01,16.318,1.293,India
1859-01-01,16.65,1.178,India
1859-02-01,19.179,1.214,India
1859-03-01,23.664,1.283,India
1859-04-01,27.814,1.383,India
1859-05-01,29.891,1.201,India
1859-06-01,28.818,1.24,India
1859-07-01,26.559,1.156,India
1859-08-01,25.559,1.1,India
1859-09-01,25.1,1.083,India
1859-10-01,23.766,1.199,India
1859-11-01,20.244,1.419,India
1859-12-01,16.809,1.478,India
1860-01-01,16.324,1.177,India
1860-02-01,18.812,1.228,India
1860-03-01,22.138,1.504,India
1860-04-01,27.185,1.209,India
1860-05-01,29.518,1.136,India
1860-06-01,28.86,1.126,India
1860-07-01,26.882,1.106,India
1860-08-01,26.149,1.21,India
1860-09-01,25.839,1.181,India
1860-10-01,23.672,1.133,India
1860-11-01,19.835,1.127,India
1860-12-01,15.548,1.154,India
1861-01-01,15.27,1.363,India
1861-02-01,18.336,1.177,India
1861-03-01,23.034,1.185,India
1861-04-01,26.995,1.252,India
1861-05-01,29.198,1.201,India
1861-06-01,28.588,1.494,India
1861-07-01,26.642,1.346,India
1861-08-01,25.819,1.168,India
1861-09-01,25.318,1.081,India
1861-10-01,23.41,1.087,India
1861-11-01,20.327,1.406,India
1861-12-01,16.655,1.513,India
1862-01-01,15.332,1.307,India
1862-02-01,17.901,1.325,India
1862-03-01,22.746,1.196,India
1862-04-01,,,India
1862-05-01,,,India
1862-06-01,,,India
1862-07-01,,,India
1862-08-01,,,India
1862-09-01,,,India
1862-10-01,,,India
1862-11-01,,,India
1862-12-01,,,India
1863-01-01,,,India
1863-02-01,,,India
1863-03-01,,,India
1863-04-01,,,India
1863-05-01,,,India
1863-06-01,,,India
1863-07-01,,,India
1863-08-01,,,India
1863-09-01,,,India
1863-10-01,,,India
1863-11-01,,,India
1863-12-01,,,India
1864-01-01,,,India
1864-02-01,,,India
1864-03-01,,,India
1864-04-01,,,India
1864-05-01,,,India
1864-06-01,,,India
1864-07-01,,,India
1864-08-01,,,India
1864-09-01,,,India
1864-10-01,,,India
1864-11-01,,,India
1864-12-01,,,India
1865-01-01,17.287,1.127,India
1865-02-01,19.031,1.933,India
1865-03-01,22.661,1.203,India
1865-04-01,26.937,1.312,India
1865-05-01,29.503,1.471,India
1865-06-01,29.257,1.128,India
1865-07-01,26.924,1.117,India
1865-08-01,26.052,1.134,India
1865-09-01,26.048,1.084,India
1865-10-01,24.073,1.124,India
1865-11-01,20.838,1.223,India
1865-12-01,16.863,1.322,India
1866-01-01,17.224,1.284,India
1866-02-01,18.834,1.346,India
1866-03-01,23.022,1.183,India
1866-04-01,27.506,1.322,India
1866-05-01,29.919,1.337,India
1866-06-01,28.815,1.159,India
1866-07-01,27.153,1.261,India
1866-08-01,25.955,1.181,India
1866-09-01,25.745,1.233,India
1866-10-01,23.598,1.108,India
1866-11-01,20.313,1.148,India
1866-12-01,17.792,1.244,India
1867-01-01,17.011,1.29,India
